scenario,run_id,experiment_name,git_commit_hash,pair_version,pair_csv_sha256,referenced_dataset_sha256,selected_threshold,final_balanced_accuracy,final_accuracy,tp,fp,tn,fn,what_changed,run_dir,tracked_evidence_dir
run1_baseline_validation_sweep,m2_baseline_20260326T181158570087Z,m2_baseline,2c606e68e3990de84ca638d8cff4c89a22dce380,synthetic_v1_balanced_pairs,8236a244e55172d389a50ae9ba781a373d9dcbcf4814bec760b8a0012d285694,3a58bbec01eb10d281fea61040fe6416de224efbaa96b65fa5f5481d790a6af7,0.01,1.0,1.0,1,0,1,0,Baseline validation sweep with fully separable positives and negatives.,artifacts\runs\m2_baseline_20260326T181158570087Z,C:\Users\benan\JupyterNotebooks\MSAI_605\Milestone 1\Faceoff_MSAI605\reports\tracked_runs\m2_baseline_20260326T181158570087Z
run2_baseline_locked_threshold,m2_baseline_20260326T181200920865Z,m2_baseline,2c606e68e3990de84ca638d8cff4c89a22dce380,synthetic_v2_midmargin_pairs,8236a244e55172d389a50ae9ba781a373d9dcbcf4814bec760b8a0012d285694,aeee589974ce44db6f45101966b40165a01a30b684eca45ff8ba83ae467df9cc,0.5,1.0,1.0,1,0,1,0,Baseline run where the validation sweep selects threshold 0.50 under the same rule.,artifacts\runs\m2_baseline_20260326T181200920865Z,C:\Users\benan\JupyterNotebooks\MSAI_605\Milestone 1\Faceoff_MSAI605\reports\tracked_runs\m2_baseline_20260326T181200920865Z
run3_baseline_test_error_analysis,m2_baseline_20260326T181203265677Z,m2_baseline,2c606e68e3990de84ca638d8cff4c89a22dce380,synthetic_v3_fp_slice_pairs,8236a244e55172d389a50ae9ba781a373d9dcbcf4814bec760b8a0012d285694,f051a9275c64d52598f2584df8cc784f40a391d4156c7e32d81d2136de0ae96c,0.01,0.5,0.5,1,1,0,0,Baseline final run with one high-similarity false positive kept for slice analysis.,artifacts\runs\m2_baseline_20260326T181203265677Z,C:\Users\benan\JupyterNotebooks\MSAI_605\Milestone 1\Faceoff_MSAI605\reports\tracked_runs\m2_baseline_20260326T181203265677Z
run4_improved_validation_sweep,m2_improved_20260326T181205376789Z,m2_improved,2c606e68e3990de84ca638d8cff4c89a22dce380,synthetic_v4_prefer_unique_pairs,8236a244e55172d389a50ae9ba781a373d9dcbcf4814bec760b8a0012d285694,e5db00127968367dba994082e35ae6ada99d8789077d28025a402ce01e22f0e5,0.01,1.0,1.0,1,0,1,0,Improved pair policy using prefer_unique positive pairs with strong separation.,artifacts\runs\m2_improved_20260326T181205376789Z,C:\Users\benan\JupyterNotebooks\MSAI_605\Milestone 1\Faceoff_MSAI605\reports\tracked_runs\m2_improved_20260326T181205376789Z
run5_improved_test_error_analysis,m2_improved_20260326T181207416660Z,m2_improved,2c606e68e3990de84ca638d8cff4c89a22dce380,synthetic_v5_fn_slice_pairs,8236a244e55172d389a50ae9ba781a373d9dcbcf4814bec760b8a0012d285694,f86bf4da98f56b9be9eae114656a82dced7aa3d0868b79b927a2ea7ad47514c8,0.5,0.5,0.5,0,0,1,1,Improved pair policy with one low-similarity false negative kept for slice analysis.,artifacts\runs\m2_improved_20260326T181207416660Z,C:\Users\benan\JupyterNotebooks\MSAI_605\Milestone 1\Faceoff_MSAI605\reports\tracked_runs\m2_improved_20260326T181207416660Z
